,doc1,doc2,doc3,doc4,doc5,doc6
doc1,1.0,0.2519381366529859,0.14143939812757078,0.5808654623856931,0.5808654623856931,0.6962698384552123
doc2,0.2519381366529859,1.0,0.9022584728107539,0.3374590557647872,0.3374590557647872,0.4789659444640435
doc3,0.14143939812757078,0.9022584728107539,1.0,0.05216580556677464,0.05216580556677464,0.29988230070682786
doc4,0.5808654623856931,0.3374590557647872,0.05216580556677464,1.0,1.0,0.7381330794844654
doc5,0.5808654623856931,0.3374590557647872,0.05216580556677464,1.0,1.0,0.7381330794844654
doc6,0.6962698384552123,0.4789659444640435,0.29988230070682786,0.7381330794844654,0.7381330794844654,1.0
