,doc1,doc2,doc3,doc4,doc5,doc6
research,28.0,18.0,38.0,18.0,18.0,22.0
data,105.0,3.0,0,264.0,264.0,64.0
mining,24.0,7.0,0,169.0,169.0,3.0
analytics,2.0,4.0,0,6.0,6.0,23.0
data mining,19,0,0,140,140,2
machine learning,162,0,0,29,29,16
deep learning,14,0,0,2,2,2
